GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Your Project Name,fr.hetic,Application,7,31,0,0,3,10,1,1,1,1
Your Project Name,fr.hetic,ConvertisseurRomain,10,136,2,14,4,32,2,8,0,2
